vehicle_id,mode,time_s,x_m,y_m,speed_mps,speed_mps
0,1,3.0,0,0,4.874648601551379,-0.009967446992067627
0,1,3.5,0,0,4.243077374387992,-0.06277094229898526
0,1,4.0,0,0,5.319462540503156,0.03765675923541413
0,1,4.5,0,0,6.575488436709718,0.14152309937647642
0,1,5.0,0,0,7.267821488417743,-0.09959565493955995
0,1,5.5,0,0,4.70706956717901,-0.17782865026188785
0,1,6.0,0,0,3.526777678665181,-0.019773110177256085
0,1,6.5,0,0,4.9963248313530295,0.12543551810744102
0,1,7.0,0,0,6.121215480090244,-0.022263628583749907
0,1,7.5,0,0,5.013503019594846,-0.07668185540427566
0,1,8.0,0,0,5.193298242244239,-0.0008575290903357374
0,1,8.5,0,0,5.154618635184946,0.07672821552347578
0,1,9.0,0,0,4.983087215195829,0.14977538016572595
0,1,9.5,0,0,6.296103821440066,0.09188084389234044
0,1,10.0,0,0,7.030772465608819,-0.014899216287439539
0,1,10.5,0,0,5.763918258604829,0.11813855286304561
0,1,11.0,0,0,5.020590553335967,0.19581262216962098
0,1,11.5,0,0,6.007031360710445,0.08362537481184708
0,1,12.0,0,0,6.872442104284287,-0.15049687116926047
0,1,12.0,0,0,5.497000849557759,0.2193326754722141
0,1,12.5,0,0,6.787627320473731,-0.1381180898049594
0,1,12.5,0,0,5.4734225658371445,-0.036597977333348825
0,1,13.0,0,0,6.006296501154256,-0.006950559909503054
0,1,13.0,0,0,5.453311602015549,0.03924988432907537
0,1,13.0,0,0,10.33702215176638,0.042350303682141
0,1,13.5,0,0,5.450432931558356,0.06980824726024937
0,1,13.5,0,0,3.806184515482066,0.26385274134644787
0,1,13.5,0,0,8.841394459844715,0.05335333038879408
0,1,14.0,0,0,5.2025780327338,0.0757301777813201
0,1,14.0,0,0,4.178511581645951,0.2797592928018136
0,1,14.0,0,0,7.547903904170914,-0.06045693900612168
0,1,14.5,0,0,5.4705091817787626,0.08651865269456549
0,1,14.5,0,0,4.559254372457898,0.08184511149673608
0,1,14.5,0,0,8.74179974930817,-0.19087626941847047
0,1,15.0,0,0,5.69221304836676,0.17785660533429273
0,1,15.0,0,0,4.088288133209627,0.0024575142453130494
0,1,15.0,0,0,7.960574862193083,-0.08818542104910418
0,1,15.5,0,0,5.833094316776658,0.1355908734215857
0,1,15.5,0,0,4.1846402414891175,-0.07834544087008578
0,1,15.5,0,0,6.728861259661453,-0.024343813059310247
0,1,16.0,0,0,6.239652962551489,0.1005628758461174
0,1,16.0,0,0,2.767606032183601,-0.14251369517173917
0,1,16.0,0,0,7.453917325783358,-0.013932555503184275
0,1,16.0,0,0,7.295169083617155,0.13331698811435297
0,1,16.5,0,0,5.914899990726472,0.18590161773086722
0,1,16.5,0,0,2.6307946261393838,-0.005467220687474948
0,1,16.5,0,0,9.019605944987218,-0.011287539993276672
