generation,best_objective,wall_time_s
1,10.428379764481626,41.47161912918091
2,10.003847405296902,87.34949398040771
3,9.713379940161838,144.10218715667725
4,9.713379940161838,207.37049221992493
5,9.68150381290123,271.5907893180847
6,9.68150381290123,337.0548360347748
7,9.68150381290123,402.73111605644226
8,9.68150381290123,468.56515526771545
9,9.671436419752473,535.8913443088531
10,9.671436419752473,601.3471012115479
11,9.671436419752473,669.0384871959686
12,9.671436419752473,736.7836830615997
13,9.610975406659643,806.7312099933624
14,9.610975406659643,877.9097921848297
15,9.610975406659643,945.6931912899017
16,9.59966857981094,1017.7381682395935
17,9.599503331052354,1088.550419330597
18,9.599503331052354,1158.4038681983948
19,9.599503331052354,1228.89808511734
20,9.593623064538042,1298.6457071304321
